product_id,product_name,category,price,discount_percentage,rating,rating_count,review_title,discounted_price,img_link,product_link,general_cat,category_numerical
B097C564GC,"rts [2 Pack] Mini USB C Type C Adapter Plug,",Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,59.99,0.94,4.3,4426,"Tiny helping hand,Good product,As a whole good product,It works,Used ,as of now satisfied with the product,beep sound while connected,Good product,USB to C adopter",3.53,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/3172BJyynBS._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/rts-Adapter-Charging-Converter-compatible/dp/B097C564GC/ref=sr_1_121?qid=1672903001&s=computers&sr=1-121,Accessories&Peripherals,1
B094DQWV9B,Kanget [2 Pack] Type C Female to USB A Male,Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,4.79,0.63,4,1540,"Good and does it’s work,Nice product working absolutely fine,Good,Good product,Value for Money,Okay overall,Value for money..,Good product for i phone users",1.79,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51JIngdPfEL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Kanget-Female-Adapter-Standard-Interface/dp/B094DQWV9B/ref=sr_1_171?qid=1672903004&s=computers&sr=1-171,Accessories&Peripherals,1
B009LJ2BXA,Hp Wired On Ear Headphones With Mic With 3.5 Mm,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,11.99,0.35,3.5,7222,"Headset,Overall a good product. Sound quality and mic quality is quite satisfactory,An ordinary headphone, though its from HP,hp headphone,Sound quality is good.,It’s okay,It is Good product,Issuebin incomming voice",7.79,https://m.media-amazon.com/images/I/31eE6slx4EL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/HP-B4B09PA-Headphones-with-Mic/dp/B009LJ2BXA/ref=sr_1_361?qid=1672903013&s=computers&sr=1-361,Accessories&Peripherals,1
B08SCCG9D4,JBL Commercial CSLM20B Auxiliary Omnidirectional Lavalier Microphone with Battery for,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones,24,0.53,3.9,14969,"It's just good !,Good for WFH,Works according to needs,Great product for beginners,Good for beginners,Very nice product,Ambiance sound capture,JBL mic is best for Biginaers",11.39,https://m.media-amazon.com/images/I/41U9-x0JGPL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/JBL-Commercial-Omnidirectional-Microphone-Recording/dp/B08SCCG9D4/ref=sr_1_179?qid=1672903004&s=computers&sr=1-179,Accessories&Peripherals,1
B08HD7JQHX,HUMBLE Dynamic Lapel Collar Mic Voice Recording Filter Microphone for,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones,5.99,0.6,3.3,2804,"No TRRS to TRS converter in the box,Not suitable for DSLR camera,Good for beginners,OK,Don't buy,For beginners it's good,Average product,It is a good and useful mic for YouTube content maker",2.39,https://m.media-amazon.com/images/I/41T3Z43M4yL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/HUMBLE-Dynamic-Recording-Microphone-SmartPhones/dp/B08HD7JQHX/ref=sr_1_205?qid=1672903005&s=computers&sr=1-205,Accessories&Peripherals,1
B08K9PX15C,Zebronics Zeb Wonderbar 10 USB Powered 2.0 Computer Speaker with,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,17.99,0.43,4,7352,"Nice product from Zebronics... Using for laptop,Gr8 product need more sound quality,Sound,Best Product 👍,Sound bass,Value for money. Wired and aux quality is poor,Compact speakers for PC/Laptop,Worthy for our money",10.19,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31ikDjsSOML._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Zebronics-Wonderbar-Powered-Computer-Speaker/dp/B08K9PX15C/ref=sr_1_285?qid=1672903008&s=computers&sr=1-285,Accessories&Peripherals,1
B08SBH499M,ZEBRONICS Zeb-Warrior II 10 watts 2.0 Multimedia Speaker with RGB,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,15.6,0.5,4.1,5195,"A beautiful experience in your budget. The volume controller was new for me but it works as a charm.,USB speakers,Nice for the price,Worth the money,Good product,No disable light feature,Please improve sound quality and more,Better at Price",7.79,https://m.media-amazon.com/images/I/41cUmIYRfVL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/ZEBRONICS-Zeb-Warrior-Speaker-Laptops-Desktop/dp/B08SBH499M/ref=sr_1_394?qid=1672903014&s=computers&sr=1-394,Accessories&Peripherals,1
B008QS9J6Y,"Logitech C270 Digital HD Webcam with Widescreen HD Video Calling,",Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,31.14,0.23,4.3,20398,"Amazing Product!,Good product at in this range.,Thik thak photo aa jata hai.,Good product,Review,Nice hd webcam,Not all of Logitech's products are excellent.,Decent buy for the price.",23.88,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/316Q0fvU+2L._SY300_SX300_.jpg,https://www.amazon.in/Logitech-C270-HD-Webcam-Black/dp/B008QS9J6Y/ref=sr_1_230?qid=1672903006&s=computers&sr=1-230,Accessories&Peripherals,1
B09P22HXH6,Lenovo 300 FHD Webcam with Full Stereo Dual Built-in mics,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,65.88,0.66,4.1,10976,"Nice product ..,Lenovo 300 camera,Very nice in the pricecrange and in budget.,Not able to connect with android TV , can you please help me out.,Good for 4 group calling fot have focusing function,Good one..,Amazing,Good product",22.68,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31psvbJkfOL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Lenovo-Megapixel-Ultra-Wide-Rotation-Plug-n-Play/dp/B09P22HXH6/ref=sr_1_323?qid=1672903011&s=computers&sr=1-323,Accessories&Peripherals,1
B085HY1DGR,Sounce Spiral Charger Cable Protector Data Cable Saver Charging Cord,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,11.99,0.9,4,1396,"Nice and soft product,IN PICTURE SHOWS AS 16 NOS BUT IN COVER ONLY 8 NOS,Usefull! Bought 3 packs in Rs 99 each containing 4 pieces,Quality Product at affordable price,It helps to hold the joints. But not from the USB level,Very third grade quality,Only two packs came,Cool Product",1.19,https://m.media-amazon.com/images/I/41nf9n-v3pL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Sounce-Charger-Protector-Charging-Protective/dp/B085HY1DGR/ref=sr_1_76?qid=1672895770&s=electronics&sr=1-76,Accessories&Peripherals,1
B08W56G1K9,LAPSTER Spiral Charger Spiral Charger Cable Protectors for Wires Data,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,11.99,0.9,4.1,8751,"Value for money but,functional,Good,Very easy to use,Good,Good product,Good,Cable protector",1.19,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41oSVnJMFKL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/LAPSTER-Charger-Protectors-Charging-Protective/dp/B08W56G1K9/ref=sr_1_19?qid=1672902995&s=computers&sr=1-19,Accessories&Peripherals,1
B085HY1DGR,Sounce Spiral Charger Cable Protector Data Cable Saver Charging Cord,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,11.99,0.9,4,1396,"Nice and soft product,IN PICTURE SHOWS AS 16 NOS BUT IN COVER ONLY 8 NOS,Usefull! Bought 3 packs in Rs 99 each containing 4 pieces,Quality Product at affordable price,It helps to hold the joints. But not from the USB level,Very third grade quality,Only two packs came,Cool Product",1.19,https://m.media-amazon.com/images/I/41nf9n-v3pL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Sounce-Charger-Protector-Charging-Protective/dp/B085HY1DGR/ref=sr_1_64?qid=1672902997&s=computers&sr=1-64,Accessories&Peripherals,1
B01J8S6X2I,AmazonBasics 6 Feet DisplayPort to DisplayPort Cable - (Not HDMI,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables,13.2,0.55,4.4,25177,"Awsome quality,Nice item,Better Display Port Cable,Works! GTX1650 Super, DELL 2520D (MST),Value for money,Not Vesa certified cable.,YOU CAN BUY IT UNDOUBTEDLY.,Check Display settings as soon as you install this cable.",5.99,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41AcG6PavXL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/AmazonBasics-Feet-DisplayPort-Cable/dp/B01J8S6X2I/ref=sr_1_252?qid=1672909136&s=electronics&sr=1-252,Accessories&Peripherals,1
